Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
"Transcript ch21=oligomycin sensitivity conferral protein oscp homolog [human, RF1,RF48 stomach cancer cell lines, mRNA, 262 nt]",S77356_at,1376,P,1129,P,1193,P,1097,P,3780,P,830,P,1451,P,1161,P,1364,P,311,P,1455,P,2533,P,2269,P,906,P,1493,P,3089,P,925,P,936,P,1741,P,1835,P,2033,P,1676,P,1881,P,3239,P,887,P,4067,P,1747,P,7195,P,1565,P,4169,P,3156,P,3487,P,2840,P,947,P,6894,P,1828,P,2203,P,2436,P,"
"
UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,S79522_at,14205,P,11692,P,16152,P,13310,P,14571,P,11854,P,12943,P,13888,P,14029,P,14693,P,12769,P,13981,P,17903,P,19835,P,12522,P,15752,P,15525,P,14698,P,10908,P,15373,P,15166,P,10269,P,14368,P,12140,P,15328,P,15848,P,15430,P,15306,P,15379,P,13017,P,14447,P,17138,P,14338,P,12574,P,14641,P,10234,P,14803,P,15544,P,"
"
PLK mRNA,U01038_at,1265,P,1645,P,889,P,1697,P,1082,P,648,P,1074,P,943,P,1000,P,1070,P,870,P,748,P,876,P,322,M,785,P,895,P,763,P,806,P,996,P,716,P,1641,P,748,P,1451,P,1098,P,1176,P,839,P,1175,P,1038,P,1276,P,1403,P,1749,P,1308,P,1199,P,440,P,1197,P,950,P,1346,P,1693,P,"
"
54 kDa protein mRNA,U02493_at,6944,P,5557,P,5972,P,5939,P,5656,P,5454,P,6550,P,5794,P,4226,P,9011,P,3245,P,2799,P,8920,P,5539,P,5060,P,6328,P,3663,P,2996,P,3156,P,5941,P,8791,P,6141,P,12083,P,5855,P,7935,P,5630,P,7007,P,4420,P,3368,P,5138,P,4143,P,3995,P,5077,P,2199,P,4954,P,5189,P,4559,P,4892,P,"
"
SRP14 Signal recognition particle 14 kD protein,U07857_at,3237,P,2711,P,3597,P,1549,P,2440,P,1747,P,2693,P,2984,P,3485,P,5204,P,1661,P,1921,P,8808,P,3556,P,3080,P,2932,P,3280,P,1950,P,1695,P,6639,P,5941,P,2372,P,5324,P,3747,P,5603,P,2738,P,2044,P,2414,P,1680,P,2242,P,3334,P,3046,P,3488,P,2246,P,3686,P,2507,P,4121,P,2900,P,"
"
ZNF134 Zinc finger protein 134 (clone pHZ-15),U09412_at,364,P,302,P,304,P,369,P,503,P,186,P,328,P,350,P,183,P,467,P,190,P,225,P,501,P,157,P,431,P,428,P,312,P,300,P,372,P,502,P,412,P,245,P,340,P,468,P,385,P,392,P,520,P,393,P,389,P,316,P,329,P,427,P,289,P,306,P,330,P,346,P,615,P,500,P,"
"
Serine kinase mRNA,U09564_at,338,P,416,P,791,P,507,P,326,P,209,P,1037,P,681,P,367,P,589,P,654,P,423,P,975,P,895,P,211,P,817,P,144,P,230,P,381,P,277,P,723,P,403,P,679,P,443,P,349,P,980,P,334,P,357,P,367,P,328,P,316,P,369,P,443,P,177,M,355,P,210,P,221,P,419,P,"
"
"Mitochondrial ATP synthase subunit 9, P3 gene copy, mRNA, nuclear gene encoding mitochondrial protein",U09813_at,1954,P,2056,P,3857,P,1189,P,1346,P,1760,P,2088,P,4046,P,2634,P,1827,P,2650,P,1501,P,4753,P,4391,P,1604,P,2943,P,2718,P,2019,P,1616,P,4090,P,3894,P,2589,P,4989,P,3140,P,3763,P,3570,P,2807,P,1622,P,1550,P,1757,P,1896,P,3384,P,2346,P,2932,P,2276,P,1893,P,1812,P,1435,P,"
"
ZNF173 Acid finger protein ZNF173,U09825_at,1142,P,755,P,773,P,705,P,1169,P,244,P,1201,P,933,P,667,P,1784,P,934,P,757,P,1494,P,878,P,730,P,653,P,602,P,1087,P,1046,P,987,P,757,P,599,P,1140,P,943,P,910,P,911,P,579,P,630,P,579,P,1230,P,639,P,962,P,783,P,133,P,470,P,741,P,525,P,1080,P,"
"
RPL9 Ribosomal protein L9,U09953_at,14573,P,14988,P,17703,P,10299,P,14145,P,9751,P,16478,P,15156,P,16295,P,17938,P,18475,P,16321,P,19888,P,22793,P,16658,P,16405,P,17723,P,16898,P,17934,P,17462,P,14024,P,7402,P,16000,P,15111,P,16323,P,15309,P,11533,P,17130,P,13263,P,13261,P,14596,P,18485,P,16100,P,15410,P,16188,P,11788,P,15124,P,16543,P,"
"
Nuclear factor NF45 mRNA,U10323_at,3215,P,3110,P,3157,P,3150,P,4100,P,1751,P,3412,P,3862,P,2767,P,3807,P,2249,P,2428,P,7634,P,3380,P,2398,P,2819,P,2296,P,1259,P,1784,P,3784,P,4717,P,3142,P,6140,P,3667,P,4923,P,2030,P,3619,P,1654,P,1764,P,2686,P,3064,P,2904,P,3371,P,1051,P,2692,P,2432,P,2844,P,3423,P,"
"
Edg-2,U11861_at,1587,P,1730,P,1528,P,1466,P,1933,P,1284,P,1286,P,1819,P,1884,P,2082,P,1374,P,1436,P,2840,P,1946,P,2018,P,1705,P,1560,P,1987,P,1490,P,1834,P,1870,P,1273,P,1998,P,1950,P,2456,P,1610,P,1360,P,1515,P,1291,P,1678,P,2017,P,2489,P,2292,P,2264,P,1630,P,2028,P,2314,P,1892,P,"
"
HSPB1 Heat shock 27kD protein 1,U12404_at,16874,P,19405,P,22103,P,13801,P,12484,P,13008,P,20578,P,20539,P,22740,P,16367,P,18986,P,20392,P,20198,P,27333,P,13748,P,18904,P,18405,P,19522,P,15747,P,18656,P,16738,P,10340,P,20627,P,21014,P,16467,P,19140,P,13815,P,21371,P,11753,P,12505,P,16036,P,21823,P,20199,P,16888,P,19459,P,15465,P,17991,P,15781,P,"
"
RPS11 Ribosomal protein S11,U12465_at,11717,P,13384,P,15305,P,8594,P,9228,P,13108,P,12381,P,14170,P,15243,P,9870,P,13341,P,15307,P,13959,P,19655,P,9728,P,13478,P,15004,P,13952,P,9481,P,13457,P,12587,P,9376,P,14533,P,16783,P,13553,P,13106,P,11018,P,14247,P,10649,P,11778,P,14867,P,14904,P,13617,P,14686,P,11044,P,16011,P,13729,P,12972,P,"
"
TFIIA gamma subunit mRNA,U14193_at,796,P,845,P,1004,P,561,P,635,P,327,P,709,P,864,P,756,P,4324,P,491,P,476,P,1538,P,990,P,447,P,841,P,628,P,541,P,606,P,849,P,1002,P,359,P,851,P,619,P,769,P,578,P,434,P,404,P,596,P,574,P,563,P,525,P,643,P,423,P,492,P,570,P,490,P,523,P,"
"
Protein tyrosine phosphatase PTPCAAX2 (hPTPCAAX2) mRNA,U14603_at,1890,P,2181,P,2529,P,2189,P,2286,P,1585,P,1467,P,2474,P,950,P,1632,P,1524,P,1254,P,3293,P,3029,P,2362,P,2342,P,953,P,1087,P,608,P,10296,P,14096,P,9598,P,12997,P,4089,P,9121,P,2393,P,9083,P,2616,P,1709,P,3624,P,2507,P,2710,P,1807,P,1528,P,2535,P,2917,P,4251,P,1975,P,"
"
Ribosomal protein L27a mRNA,U14968_at,13353,P,16960,P,15831,P,8088,P,14677,P,12259,P,14389,P,17641,P,17534,P,11771,P,13792,P,13885,P,15741,P,20294,P,14078,P,17417,P,11293,P,15809,P,18896,P,16698,P,16701,P,13912,P,16860,P,16310,P,17023,P,17786,P,16439,P,18125,P,14345,P,13618,P,15487,P,15860,P,16388,P,18239,P,14801,P,16202,P,17258,P,16750,P,"
"
Ribosomal protein L28 mRNA,U14969_at,19130,P,21278,P,18912,P,17527,P,21219,P,23801,P,16759,P,21418,P,22479,P,18173,P,21919,P,20041,P,18347,P,16588,P,22720,P,21532,P,23910,P,22008,P,23583,P,20960,P,20446,P,27775,P,21080,P,22192,P,23147,P,20376,P,23320,P,22828,P,18161,P,19854,P,21235,P,23646,P,20906,P,23842,P,21992,P,24086,P,20881,P,21544,P,"
"
RPS5 Ribosomal protein S5,U14970_at,15119,P,18977,P,22706,P,13829,P,16708,P,23652,P,14555,P,22167,P,18559,P,22617,P,18433,P,21885,P,18636,P,9454,P,16949,P,18952,P,23573,P,17287,P,18082,P,20593,P,14278,P,14611,P,22701,P,20348,P,19724,P,18743,P,14085,P,15446,P,13349,P,7353,P,18585,P,20339,P,20625,P,20972,P,16164,P,20234,P,19183,P,16561,P,"
"
RPS9 Ribosomal protein S9,U14971_at,12143,P,13939,P,15848,P,7853,P,9768,P,13452,P,10227,P,15059,P,14144,P,10178,P,12279,P,9851,P,14534,P,5755,P,13040,P,12014,P,16103,P,11141,P,9985,P,14953,P,11746,P,10055,P,16604,P,15537,P,12022,P,11334,P,6647,P,13678,P,9134,P,7550,P,15615,P,17281,P,16026,P,17054,P,13045,P,16811,P,14456,P,13031,P,"
"
Ribosomal protein S10 mRNA,U14972_at,12720,P,14156,P,14358,P,7747,P,11385,P,17486,P,13237,P,14540,P,13734,P,13548,P,12562,P,11496,P,17438,P,13401,P,13562,P,13594,P,16516,P,13214,P,11872,P,15360,P,10600,P,7194,P,15421,P,13636,P,15536,P,13232,P,13438,P,12335,P,9966,P,7519,P,13790,P,15743,P,15181,P,19669,P,13479,P,15012,P,14792,P,14805,P,"
"
40S RIBOSOMAL PROTEIN S29,U14973_at,19398,P,20331,P,18998,P,23847,P,23243,P,21290,P,21565,P,18202,P,21257,P,18229,P,22269,P,20855,P,12927,P,24478,P,23412,P,19490,P,20965,P,19275,P,26047,P,18006,P,21078,P,23824,P,18535,P,22041,P,20012,P,18057,P,26503,P,20318,P,28671,P,20088,P,19174,P,22047,P,18811,P,22740,P,18877,P,21503,P,20260,P,20125,P,"
"
SnRNP core protein Sm D2 mRNA,U15008_at,7093,P,7288,P,8690,P,3971,P,5473,P,8311,P,5507,P,10876,P,9059,P,7643,P,5635,P,5533,P,13517,P,12649,P,5248,P,6677,P,7710,P,5402,P,4824,P,10263,P,10008,P,6479,P,13146,P,9058,P,9475,P,8576,P,6840,P,5806,P,3902,P,4325,P,7301,P,7158,P,7420,P,8323,P,6776,P,6327,P,4975,P,4704,P,"
"
SRP9 Signal recognition particle 9 kD protein,U20998_at,1753,P,1486,P,2298,P,898,P,1586,P,426,P,2151,P,2901,P,2523,P,3295,P,954,P,1147,P,4698,P,2914,P,1000,P,2298,P,498,P,753,P,672,P,1602,P,2760,P,1013,P,2334,P,878,P,2016,P,2263,P,1131,P,408,P,528,P,698,P,786,P,845,P,824,P,1175,P,440,P,651,P,659,P,580,P,"
"
HISTONE H3.3,U21858_at,425,P,379,P,630,P,379,P,304,P,235,P,395,P,411,P,361,P,824,P,327,P,450,P,1144,P,1020,P,360,P,495,P,385,P,361,P,280,P,400,P,632,P,309,P,577,P,517,P,790,P,632,P,432,P,789,P,485,P,527,P,571,P,686,P,695,P,560,P,845,P,512,P,515,P,619,P,"
"
Coatomer protein (COPA) mRNA,U24105_at,3163,P,2103,P,2698,P,1245,P,5036,P,1769,P,1960,P,2869,P,2127,P,4355,P,2545,P,1419,P,3755,P,795,P,2910,P,2828,P,1921,P,2172,P,3698,P,3504,P,2990,P,3065,P,3075,P,1666,P,2375,P,2737,P,2218,P,2644,P,2156,P,2314,P,3717,P,4136,P,3471,P,2119,P,4480,P,2848,P,3467,P,4047,P,"
"
Ribosomal protein L21 mRNA,U25789_at,6556,P,7736,P,9239,P,4822,P,5904,P,5643,P,6032,P,10378,P,7972,P,6034,P,5599,P,12281,P,11539,P,4792,P,6884,P,7626,P,7117,P,6152,P,5398,P,10632,P,7685,P,4850,P,10182,P,7779,P,9182,P,11123,P,6597,P,9929,P,5624,P,5665,P,9072,P,11002,P,9620,P,9334,P,9803,P,6378,P,8436,P,9798,P,"
"
Putative RNA binding protein RNPL mRNA,U28686_at,907,P,753,P,892,P,488,P,866,P,987,P,1055,P,977,P,630,P,825,P,494,P,587,P,3123,P,939,P,1404,P,971,P,1018,P,914,P,430,P,1789,P,909,P,558,P,1149,P,1144,P,2045,P,990,P,622,P,898,P,747,P,602,P,751,P,1480,P,938,P,1017,P,873,P,567,P,1001,P,1122,P,"
"
EIF-2-associated p67 homolog mRNA,U29607_at,7072,P,6609,P,3654,P,7619,P,8242,P,4064,P,5410,P,5833,P,5823,P,6524,P,4385,P,3623,P,9302,P,7028,P,5221,P,5141,P,4327,P,4955,P,7283,P,6849,P,8702,P,5885,P,4255,P,3686,P,4523,P,6989,P,5839,P,7890,P,4527,P,3477,P,4589,P,5799,P,3672,P,1454,P,2854,P,4295,P,7387,P,5690,P,"
"
FRAP FK506 binding protein 12-rapamycin associated protein,U30521_at,2191,P,2336,P,2824,P,1591,P,1720,P,438,P,2804,P,3548,P,3457,P,2127,P,473,P,558,P,10059,P,2444,P,609,P,2865,P,427,P,422,P,1625,P,784,P,2528,P,1691,P,3331,P,770,P,703,P,1661,P,4620,P,1048,P,1180,P,281,P,189,P,314,P,814,P,383,P,564,P,1517,P,756,P,400,P,"
"
DUT DUTP pyrophosphatase,U31930_at,2070,P,1733,P,2335,P,1730,P,1031,P,1349,P,2665,P,3847,P,2274,P,4054,P,1463,P,1542,P,4922,P,1928,P,464,P,2097,P,1459,P,2169,P,1224,P,1732,P,3532,P,2526,P,4201,P,4161,P,2040,P,2533,P,2124,P,1762,P,1882,P,1524,P,1549,P,1464,P,2373,P,1310,P,1409,P,1517,P,1730,P,1039,P,"
"
Chromosome segregation gene homolog CAS mRNA,U33286_at,280,P,297,P,1017,P,357,P,332,P,112,P,702,P,977,P,433,P,861,P,385,P,380,P,1236,P,431,P,128,P,760,P,164,P,445,P,280,P,190,P,609,P,273,P,713,P,250,P,681,P,448,P,210,P,233,P,259,P,385,P,167,P,485,P,238,P,157,P,202,P,155,P,105,P,189,P,"
"
Inducible poly(A)-binding protein mRNA,U33818_at,573,P,601,P,1237,P,693,P,469,P,359,P,577,P,862,P,588,P,764,P,1375,P,447,P,1645,P,1243,P,479,P,1038,P,423,P,440,P,467,P,552,P,595,P,449,P,726,P,1285,P,621,P,619,P,505,P,873,P,569,P,770,P,854,P,979,P,872,P,566,P,1187,P,643,P,622,P,568,P,"
"
Tax1-binding protein TXBP151 mRNA,U33821_at,1799,P,1795,P,1505,P,1849,P,1689,P,467,P,996,P,1812,P,1173,P,1921,P,558,P,1199,P,2855,P,1095,P,832,P,1424,P,1374,P,484,P,1545,P,1453,P,2641,P,1191,P,1497,P,965,P,1616,P,1244,P,1389,P,2506,P,1067,P,1776,P,2730,P,2054,P,2039,P,1931,P,2247,P,1712,P,2449,P,1788,P,"
"
RNA polymerase II subunit (hsRPB10) mRNA,U37690_at,1490,P,1646,P,2385,P,1345,P,1506,P,1770,P,1249,P,2299,P,1680,P,2113,P,1365,P,1228,P,2455,P,3779,P,966,P,1871,P,1768,P,1523,P,980,P,2250,P,1817,P,2140,P,2726,P,1601,P,1540,P,2190,P,903,P,2197,P,1514,P,1780,P,2715,P,2538,P,1563,P,2043,P,2711,P,2611,P,1854,P,1951,P,"
"
Stimulator of TAR RNA binding (SRB) mRNA,U38846_at,2170,P,2703,P,4006,P,2145,P,1295,P,789,P,2389,P,3210,P,2673,P,3508,P,2382,P,2148,P,6661,P,1700,P,566,P,2613,P,1271,P,1969,P,1370,P,1407,P,2048,P,1250,P,4200,P,1613,P,1850,P,2680,P,1255,P,1162,P,899,P,891,P,965,P,1145,P,1563,P,1029,P,1374,P,1235,P,998,P,579,P,"
"
E2 ubiquitin conjugating enzyme UbcH5B (UBCH5B) mRNA,U39317_at,1253,P,820,P,1179,P,924,P,692,P,500,P,1253,P,1396,P,892,P,385,P,1135,P,1019,P,2358,P,2709,P,1107,P,421,P,691,P,637,P,204,M,632,P,995,P,752,P,1444,P,775,P,1081,P,666,P,558,P,463,P,396,P,1147,P,1222,P,1296,P,844,P,682,P,1363,P,1058,P,584,P,1175,P,"
"
AF-4 mRNA,U39318_at,1123,P,1637,P,1604,P,1713,P,1677,P,883,P,1429,P,1592,P,1606,P,1869,P,1033,P,871,P,2186,P,873,P,1935,P,1337,P,1455,P,825,P,926,P,2099,P,2251,P,1296,P,2317,P,1570,P,2212,P,1454,P,1339,P,1436,P,815,P,1977,P,3402,P,2842,P,2097,P,1654,P,1951,P,1327,P,2284,P,3173,P,"
"
CDK inhibitor p19INK4d mRNA,U40343_at,914,P,1349,P,1022,P,774,P,385,P,538,P,953,P,1665,P,794,P,804,P,503,P,639,P,1302,P,590,P,3491,P,1373,P,552,P,709,P,616,P,814,P,1648,P,174,P,1604,P,1093,P,960,P,686,P,637,P,517,P,286,P,2044,P,684,P,944,P,656,P,507,P,1179,P,435,P,790,P,678,P,"
"
Spliceosome associated protein (SAP 145) mRNA,U41371_at,1149,P,1039,P,935,P,954,P,1161,P,426,P,1454,P,1522,P,958,P,983,P,944,P,918,P,1982,P,955,P,843,P,1111,P,679,P,1116,P,583,P,807,P,1534,P,1200,P,1729,P,1344,P,1514,P,1160,P,1012,P,1023,P,815,P,1460,P,1496,P,1261,P,1148,P,876,P,952,P,1284,P,1663,P,1171,P,"
"
Selenophosphate synthetase 2 (SPS2) mRNA,U43286_at,563,P,578,P,654,P,589,P,512,P,286,P,864,P,965,P,639,P,775,P,1332,P,356,P,1314,P,590,P,458,P,815,P,405,P,384,P,214,P,714,P,614,P,254,P,324,P,561,P,646,P,764,P,518,P,298,P,341,P,245,P,372,P,475,P,475,P,488,P,639,P,691,P,926,P,596,P,"
"
Putative ubiquitin C-terminal hydrolase (UHX1) mRNA,U44839_at,4819,P,5135,P,3116,P,5237,P,6748,P,1964,P,6131,P,4403,P,3924,P,4226,P,2618,P,3945,P,6650,P,1847,P,3406,P,4697,P,3728,P,3011,P,1282,P,4231,P,5747,P,4125,P,4628,P,4265,P,3880,P,4149,P,4245,P,4917,P,3767,P,3658,P,4752,P,4728,P,4777,P,2192,P,4923,P,4686,P,5433,P,6702,P,"
"
Chromosome 16p11.2 BAC Clone CIT987SK-234F9 complete sequence,U46025_at,2696,P,3155,P,2594,P,3844,P,1319,P,2069,P,2083,P,4825,P,3039,P,4167,P,1016,P,3675,P,4846,P,1587,P,1001,P,3229,P,2601,P,2329,P,1462,P,2193,P,2312,P,1031,P,4217,P,3342,P,3146,P,2763,P,1963,P,2037,P,1565,P,2496,P,2849,P,1044,P,2586,P,1575,P,3899,P,1364,P,2311,P,1755,P,"
"
"DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)",U49785_at,1258,P,1111,P,1087,P,1011,P,610,P,596,P,835,P,1135,P,1309,P,1183,P,1122,P,964,P,2091,P,1276,P,804,P,1304,P,954,P,1237,P,353,P,701,P,1783,P,739,P,965,P,1063,P,774,P,982,P,572,P,1264,P,1154,P,1153,P,981,P,983,P,1165,P,567,P,1197,P,1058,P,848,P,637,P,"
"
Ubiquitin gene,U49869_rna1_at,12454,P,13477,P,14846,P,14222,P,19363,P,10557,P,20407,P,18153,P,13574,P,11827,P,9209,P,18884,P,22282,P,22336,P,13893,P,15811,P,15225,P,10185,P,12491,P,19697,P,20413,P,18192,P,19818,P,21770,P,18172,P,16533,P,19392,P,9245,P,7021,P,12569,P,16520,P,22815,P,14905,P,15612,P,17030,P,15590,P,14680,P,15907,P,"
"
"ORF1; MER37; putative transposase similar to pogo element from  Human Tigger1 transposable element, complete consensus sequence./ntype=DNA /annot=CDS",U49973_xpt1_at,1137,P,1091,P,907,P,846,P,1098,P,589,P,999,P,1333,P,1228,P,1475,P,1142,P,527,P,1651,P,474,P,874,P,1119,P,779,P,1254,P,1264,P,1122,P,1249,P,1081,P,724,P,954,P,854,P,1260,P,976,P,1171,P,730,P,793,P,1084,P,1388,P,1079,P,408,P,1113,P,906,P,1267,P,1129,P,"
"
"BRCA2 region, mRNA sequence CG037",U50523_at,2567,P,2902,P,3550,P,1594,P,1233,P,1927,P,1466,P,3512,P,2470,P,4041,P,3656,P,1099,P,2987,P,517,P,1350,P,2033,P,1211,P,2556,P,481,P,3975,P,3091,P,1877,P,3612,P,993,P,2409,P,3438,P,1774,P,3658,P,2265,P,3806,P,3068,P,2467,P,2161,P,1963,P,5051,P,3675,P,3723,P,1768,P,"
"
Putative protein kinase C inhibitor (PKCI-1) mRNA,U51004_at,2534,P,2534,P,3891,P,2318,P,993,P,3879,P,2621,P,3409,P,2646,P,2919,P,3132,P,2654,P,5839,P,3138,P,2285,P,2711,P,2925,P,1708,P,1281,P,2294,P,5635,P,2597,P,5930,P,3485,P,4243,P,5620,P,2120,P,6829,P,3337,P,2787,P,4641,P,5071,P,8524,P,5812,P,5144,P,5936,P,2541,P,4465,P,"
"
Sodium/potassium-transporting ATPase beta-3 subunit mRNA,U51478_at,3756,P,2534,P,3849,P,2160,P,3314,P,1330,P,3002,P,4275,P,2937,P,4455,P,1489,P,1951,P,7798,P,1472,P,3146,P,3906,P,1775,P,2988,P,1594,P,2271,P,1861,P,1365,P,4335,P,1938,P,1488,P,2186,P,1389,P,2293,P,2214,P,2863,P,1842,P,1793,P,5098,P,1710,P,2442,P,2101,P,2801,P,3921,P,"
"
Transformer-2 alpha (htra-2 alpha) mRNA,U53209_at,2410,P,1262,P,1290,P,1708,P,1337,P,679,P,1900,P,1792,P,1896,P,2952,P,572,P,2210,P,4567,P,1038,P,1643,P,958,P,861,P,725,P,1310,P,2136,P,1922,P,787,P,1914,P,874,P,1964,P,1676,P,1657,P,947,P,620,M,1024,P,1627,P,1747,P,1355,P,708,P,1154,P,1585,P,1842,P,1117,P,"
"
14-3-3 epsilon mRNA,U54778_at,1965,P,1675,P,2614,P,1930,P,1752,P,924,P,1783,P,2234,P,1685,P,3856,P,1003,P,1154,P,4782,P,2015,P,661,P,1921,P,1345,P,1441,P,2620,P,1839,P,2190,P,1303,P,2976,P,1089,P,1694,P,2049,P,1146,P,1669,P,807,P,1139,P,1318,P,1438,P,1750,P,797,P,2053,P,2088,P,1142,P,1733,P,"
"
Capping protein alpha subunit isoform 1 mRNA,U56637_at,4531,P,3407,P,4063,P,3787,P,1810,P,948,P,2831,P,4639,P,3184,P,6071,P,2606,P,1561,P,5929,P,3269,P,1527,P,3710,P,980,P,1627,P,1517,P,2051,P,5561,P,2505,P,4132,P,1660,P,2378,P,3619,P,1156,P,1684,P,995,P,3268,P,1943,P,2067,P,1484,P,1256,P,2062,P,2547,P,1440,P,2994,P,"
"
Myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA,U57342_at,2164,P,1834,P,1409,P,1849,P,2795,P,1342,P,2418,P,1385,P,1225,P,4868,P,944,P,1178,P,2658,P,899,P,1566,P,1493,P,2051,P,1461,P,1939,P,3000,P,2375,P,1435,P,3230,P,1827,P,2694,P,1828,P,1276,P,2636,P,2159,P,1707,P,3190,P,3953,P,2635,P,1597,P,2396,P,2932,P,2519,P,3202,P,"
"
RPS28 Ribosomal protein S28,U58682_at,11731,P,14484,P,14923,P,12169,P,9873,P,14495,P,9023,P,17453,P,11608,P,12607,P,12456,P,9132,P,15463,P,13237,P,11189,P,13713,P,15479,P,12218,P,9749,P,13271,P,10624,P,12573,P,15532,P,10005,P,12204,P,14156,P,12186,P,10164,P,8995,P,6994,P,12800,P,13115,P,14815,P,14215,P,9526,P,10391,P,11604,P,10771,P,"
"
Int-6 mRNA,U62962_at,3512,P,3167,P,5468,P,3415,P,1918,P,1853,P,4145,P,4876,P,4139,P,3672,P,3460,P,4104,P,10647,P,7152,P,2521,P,3891,P,2452,P,3392,P,2823,P,2807,P,3140,P,1790,P,4450,P,2630,P,4523,P,4295,P,2980,P,4379,P,1938,P,2424,P,2998,P,3971,P,4545,P,3734,P,3726,P,2533,P,2834,P,6850,P,"
"
Ubiquitin fusion-degradation protein (UFD1L) mRNA,U64444_at,995,P,793,P,1108,P,814,P,852,P,560,P,793,P,902,P,820,P,1249,P,827,P,667,P,1077,P,919,P,1084,P,897,P,759,P,842,P,538,P,987,P,2048,P,862,P,1954,P,954,P,1223,P,924,P,1092,P,912,P,651,P,1462,P,1114,P,1160,P,899,P,772,P,1259,P,765,P,974,P,1031,P,"
"
Putative splice factor transformer2-beta mRNA,U68063_at,1335,P,903,P,1985,P,940,P,951,P,613,P,1946,P,1849,P,1534,P,2863,P,497,P,975,P,4176,P,2233,P,591,P,1941,P,1561,P,1046,P,438,P,2020,P,1167,P,837,P,1767,P,1027,P,586,P,1317,P,526,P,630,P,379,P,241,P,737,P,747,P,498,P,628,P,811,P,834,P,1131,P,890,P,"
"
34 kDa Mov34 homolog mRNA,U70735_at,1272,P,1132,P,1391,P,984,P,1160,P,620,P,912,P,1369,P,1076,P,2069,P,855,P,990,P,1899,P,443,P,579,P,915,P,1163,P,1227,P,1060,P,1294,P,1427,P,969,P,1515,P,1306,P,1046,P,1129,P,1238,P,862,P,649,P,62,P,1066,P,940,P,1135,P,588,P,1348,P,1073,P,1220,P,862,P,"
"
"B-cell receptor associated protein (hBAP) alternatively spliced mRNA, partial 3'UTR",U72512_at,1898,P,1530,P,1646,P,1970,P,1834,P,1021,P,1376,P,1248,P,1909,P,1952,P,1712,P,1359,P,1537,P,550,P,1516,P,1192,P,1710,P,1650,P,2493,P,1835,P,2103,P,1612,P,2039,P,2027,P,1570,P,1718,P,1293,P,2212,P,1226,P,1778,P,1636,P,2427,P,2057,P,1015,P,1758,P,1876,P,2150,P,2720,P,"
"
Cyclin-selective ubiquitin carrier protein mRNA,U73379_at,1630,P,3025,P,1721,P,2115,P,1433,P,632,P,1539,P,2672,P,877,P,1590,P,2030,P,1019,P,1123,P,578,P,682,P,1310,P,853,P,889,P,1182,P,798,P,2108,P,1561,P,2375,P,2373,P,2773,P,1649,P,2610,P,1027,P,2260,P,2729,P,2085,P,1770,P,1685,P,782,P,892,P,1405,P,925,P,1706,P,"
"
P97 mRNA,U73824_at,3528,P,1848,P,4983,P,2175,P,4849,P,924,P,2794,P,3969,P,2416,P,4802,P,877,P,1020,P,7913,P,2738,P,1838,P,2441,P,1531,P,1717,P,2047,P,6372,P,5190,P,2242,P,5729,P,1705,P,4852,P,2008,P,2028,P,3145,P,1913,P,3066,P,2869,P,3448,P,2971,P,1942,P,3898,P,3086,P,4073,P,2735,P,"
"
Desmosome associated protein pinin mRNA,U77718_at,730,P,639,P,1146,P,836,P,930,P,386,P,1398,P,1372,P,814,P,1558,P,365,P,797,P,3094,P,1256,P,451,P,1026,P,939,P,298,P,369,P,697,P,780,P,693,P,668,P,630,P,1159,P,702,P,484,P,933,P,901,P,437,P,529,P,1143,P,1160,P,604,P,385,P,622,P,795,P,871,P,"
"
"KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))",U77948_at,1114,P,1685,P,1502,P,1278,P,1545,P,257,P,1054,P,2117,P,1571,P,2481,P,608,P,513,P,2627,P,916,P,757,P,2224,P,580,P,865,P,655,P,1238,P,1176,P,691,P,1166,P,402,P,1044,P,1220,P,698,P,546,P,769,P,405,P,407,P,610,P,613,P,484,P,438,P,517,P,1231,P,190,P,"
"
